exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
4,16,5,medium,medium,318.0,0.8324607329842932
4,91,5,medium,medium,223.0,0.9291666666666667
4,62,5,medium,medium,217.0,0.9041666666666667
4,25,5,medium,medium,268.0,0.9178082191780822
4,32,5,medium,medium,207.0,0.8625
4,89,5,medium,medium,232.0,0.9666666666666667
4,53,5,medium,medium,213.0,0.8875
4,88,5,medium,medium,218.0,0.9083333333333333
4,17,5,medium,medium,256.0,0.89198606271777
4,61,5,medium,medium,322.0,0.9442815249266863
4,84,5,medium,medium,249.0,0.9467680608365019
4,73,5,medium,medium,260.0,0.9629629629629629
4,81,5,medium,medium,223.0,0.9291666666666667
4,51,5,medium,medium,219.0,0.9125
4,6,5,medium,medium,213.0,0.8875
4,54,5,medium,medium,298.0,0.952076677316294
4,20,5,medium,medium,218.0,0.8790322580645161
4,70,5,medium,medium,218.0,0.9083333333333333
4,33,5,medium,medium,227.0,0.9458333333333333
4,40,5,medium,medium,212.0,0.8833333333333333
4,55,5,medium,medium,292.0,0.7807486631016043
4,75,5,medium,medium,221.0,0.9208333333333333
4,97,5,medium,medium,230.0,0.9583333333333334
4,66,5,medium,medium,222.0,0.925
4,19,5,medium,medium,216.0,0.9
4,24,5,medium,medium,228.0,0.95
4,42,5,medium,medium,231.0,0.9625
4,57,5,medium,medium,217.0,0.9041666666666667
4,83,5,medium,medium,320.0,0.9142857142857143
4,108,5,medium,medium,233.0,0.9708333333333333
4,105,5,medium,medium,220.0,0.9166666666666666
4,121,5,medium,medium,223.0,0.9291666666666667
4,115,5,medium,medium,253.0,0.8815331010452961
4,143,5,medium,medium,219.0,0.9125
4,133,5,medium,medium,252.0,0.9438202247191011
4,117,5,medium,medium,269.0,0.9057239057239057
4,135,5,medium,medium,244.0,0.8384879725085911
4,142,5,medium,medium,319.0,0.9166666666666666
4,147,5,medium,medium,214.0,0.8916666666666667
4,145,5,medium,medium,228.0,0.9011857707509882
4,155,5,medium,medium,221.0,0.9208333333333333
4,168,5,medium,medium,226.0,0.8932806324110671
4,171,5,medium,medium,223.0,0.9291666666666667
4,158,5,medium,medium,244.0,0.8531468531468531
4,166,5,medium,medium,283.0,0.9278688524590164
4,192,5,medium,medium,194.0,0.8083333333333333
4,203,5,medium,medium,220.0,0.9166666666666666
4,202,5,medium,medium,221.0,0.9208333333333333
4,169,5,medium,medium,266.0,0.9140893470790378
4,210,5,medium,medium,221.0,0.9208333333333333
4,215,5,medium,medium,231.0,0.9625
4,207,5,medium,medium,245.0,0.9386973180076629
6,19,5,medium,medium,188.0,0.9082125603864735
4,151,5,medium,medium,570.0,0.8990536277602523
6,17,5,medium,medium,253.0,0.8815331010452961
4,206,5,medium,medium,338.0,0.9013333333333333
6,16,5,medium,medium,310.0,0.8115183246073299
6,42,5,medium,medium,199.0,0.961352657004831
6,20,5,medium,medium,220.0,0.8870967741935484
6,24,5,medium,medium,194.0,0.9371980676328503
6,33,5,medium,medium,202.0,0.9758454106280193
6,40,5,medium,medium,191.0,0.9227053140096618
6,32,5,medium,medium,198.0,0.868421052631579
6,25,5,medium,medium,252.0,0.863013698630137
6,53,5,medium,medium,172.0,0.8309178743961353
4,214,5,medium,medium,454.0,0.8470149253731343
6,51,5,medium,medium,196.0,0.9468599033816425
6,62,5,medium,medium,184.0,0.8888888888888888
6,70,5,medium,medium,187.0,0.9033816425120773
6,66,5,medium,medium,198.0,0.9565217391304348
6,57,5,medium,medium,194.0,0.9371980676328503
6,54,5,medium,medium,308.0,0.9840255591054313
6,81,5,medium,medium,190.0,0.9178743961352657
6,73,5,medium,medium,254.0,0.9407407407407408
6,88,5,medium,medium,181.0,0.8743961352657005
6,61,5,medium,medium,332.0,0.9736070381231672
6,55,5,medium,medium,314.0,0.839572192513369
6,75,5,medium,medium,202.0,0.9758454106280193
6,84,5,medium,medium,256.0,0.973384030418251
6,91,5,medium,medium,194.0,0.9371980676328503
6,83,5,medium,medium,342.0,0.9771428571428571
6,108,5,medium,medium,194.0,0.9371980676328503
6,105,5,medium,medium,193.0,0.9323671497584541
6,97,5,medium,medium,220.0,0.9565217391304348
6,89,5,medium,medium,217.0,0.96875
6,143,5,medium,medium,195.0,0.9420289855072463
6,115,5,medium,medium,240.0,0.8362369337979094
6,121,5,medium,medium,199.0,0.961352657004831
6,117,5,medium,medium,283.0,0.9528619528619529
6,133,5,medium,medium,234.0,0.8764044943820225
6,145,5,medium,medium,217.0,0.857707509881423
6,135,5,medium,medium,244.0,0.8384879725085911
6,147,5,medium,medium,171.0,0.8260869565217391
6,155,5,medium,medium,200.0,0.966183574879227
6,142,5,medium,medium,327.0,0.9396551724137931
6,171,5,medium,medium,196.0,0.9468599033816425
