exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,Shape,Direction,Length,Position,Duration,source_file
10,11,Intermediate,Intermediate,r1,r1,0.9855814637435544,0.8569081858230214,0.9829715055729066,0.889746994119125,0.7526067122841317,r1_result.csv
10,12,Intermediate,Intermediate,r1,r1,0.988504372336778,0.919223384090312,0.9847038621343768,0.919167330948119,0.747778133385854,r1_result.csv
10,6,Intermediate,Intermediate,r1,r1,0.9847265568413994,0.8602159405907333,0.9846385436356376,0.8728984940335572,0.686242329099472,r1_result.csv
11,12,Intermediate,Intermediate,r1,r1,0.9858465153005922,0.8571190131003046,0.9838822765103228,0.9162159253819454,0.7434397315667212,r1_result.csv
11,6,Intermediate,Intermediate,r1,r1,0.9821934276196016,0.8331545342020853,0.9786027240586476,0.8879199536713989,0.684331797235023,r1_result.csv
12,6,Intermediate,Intermediate,r1,r1,0.9867815441328686,0.8810346433946438,0.984064142654958,0.8855872153904633,0.7257142857142858,r1_result.csv
10,5,Intermediate,Beginner,r1,r1,0.9861577800838822,0.8486405985858488,0.9849891723308272,0.8927810479346434,0.6955102040816327,r1_result.csv
10,7,Intermediate,Beginner,r1,r1,0.9879438115595052,0.8870495492502692,0.986537385107142,0.8540295184019989,0.7448255039147093,r1_result.csv
10,8,Intermediate,Beginner,r1,r1,0.9867284131702606,0.879918932213311,0.9865729236960686,0.9349039678001516,0.7329545454545455,r1_result.csv
10,9,Intermediate,Beginner,r1,r1,0.9862849543776154,0.832263004968786,0.9840293531510512,0.8775671599255861,0.7124894585933548,r1_result.csv
11,5,Intermediate,Beginner,r1,r1,0.9860337459002813,0.8456991521140675,0.981221231899152,0.8792854240363747,0.7210464201416208,r1_result.csv
11,7,Intermediate,Beginner,r1,r1,0.9855301761728016,0.8364551480837199,0.981003915827248,0.9052383861421632,0.7525773195876289,r1_result.csv
11,8,Intermediate,Beginner,r1,r1,0.9858146694886022,0.846985560503364,0.98214154311484,0.9138062794131544,0.7489837398373984,r1_result.csv
11,9,Intermediate,Beginner,r1,r1,0.9832907008528388,0.8114945032257358,0.9812575821883556,0.8885617177803876,0.7121951219512195,r1_result.csv
12,5,Intermediate,Beginner,r1,r1,0.9873582277468672,0.851353506569522,0.98565048558236,0.8744762767633476,0.7538525144704202,r1_result.csv
12,7,Intermediate,Beginner,r1,r1,0.9876400411655788,0.8743817760229114,0.9853689236959928,0.9100694465670288,0.7535714285714284,r1_result.csv
12,8,Intermediate,Beginner,r1,r1,0.9888173398032872,0.875291344684053,0.9851720386058548,0.9445747210067992,0.7655922431865828,r1_result.csv
12,9,Intermediate,Beginner,r1,r1,0.9843451450841224,0.835272728487294,0.9806142416873368,0.8493788273575598,0.7148288973384029,r1_result.csv
6,5,Intermediate,Beginner,r1,r1,0.9853900230339386,0.8314499639231061,0.9830368933812426,0.9362055793234262,0.7210146635862134,r1_result.csv
6,7,Intermediate,Beginner,r1,r1,0.9845195634055256,0.8180551109997023,0.9816898478799014,0.8802707641671011,0.6608391608391608,r1_result.csv
6,8,Intermediate,Beginner,r1,r1,0.9858614943466742,0.8714353736530775,0.9832627378470992,0.935591472299262,0.6299559471365639,r1_result.csv
6,9,Intermediate,Beginner,r1,r1,0.9838177843318489,0.7781416051077833,0.9804134384232752,0.8854522263256632,0.6561514195583595,r1_result.csv
5,7,Beginner,Beginner,r1,r1,0.9869716720414302,0.835002984986456,0.9864972225426056,0.9063430156262504,0.7482014388489208,r1_result.csv
5,8,Beginner,Beginner,r1,r1,0.987371507209004,0.8679428357587757,0.9852690232114256,0.9443836078287414,0.6956521739130435,r1_result.csv
5,9,Beginner,Beginner,r1,r1,0.98557396339063,0.7797506926741378,0.9829929686150022,0.8860770975251872,0.7150537634408602,r1_result.csv
7,8,Beginner,Beginner,r1,r1,0.9871728982925542,0.8694395756434449,0.9866592253101836,0.9210369086085136,0.75,r1_result.csv
7,9,Beginner,Beginner,r1,r1,0.9865180074571156,0.8423974479196,0.98465824520905,0.8648954161045996,0.7194127998518107,r1_result.csv
8,9,Beginner,Beginner,r1,r1,0.985302740070442,0.7778546960312608,0.9840483721200054,0.9034719877053404,0.75,r1_result.csv
10,11,Intermediate,Intermediate,r2,r2,0.9919064836204708,0.9157428510938844,0.9902213087192449,0.929875195644244,0.778652668416448,r2_result.csv
10,12,Intermediate,Intermediate,r2,r2,0.9901751240072784,0.9349107957157736,0.9878434836566936,0.9461767974415058,0.7523482245131731,r2_result.csv
10,6,Intermediate,Intermediate,r2,r2,0.9869488083283908,0.8861532320165215,0.9840475953804236,0.8619892906370693,0.7053221288515407,r2_result.csv
11,12,Intermediate,Intermediate,r2,r2,0.9891190388519716,0.9117518854729156,0.9891824367139428,0.9552735793903367,0.752851711026616,r2_result.csv
11,6,Intermediate,Intermediate,r2,r2,0.9877453366525512,0.9066036294266,0.9839905931560676,0.9081598311919028,0.6750788643533123,r2_result.csv
12,6,Intermediate,Intermediate,r2,r2,0.9873576354121798,0.911946224624044,0.9854098657053616,0.9012316790539374,0.6690841566813819,r2_result.csv
10,5,Intermediate,Beginner,r2,r2,0.990556486483709,0.9294791564600908,0.9869283101571776,0.9306403851998916,0.7428571428571429,r2_result.csv
10,7,Intermediate,Beginner,r2,r2,0.9885241964635414,0.9160756203490288,0.9886185378675874,0.903829558707146,0.7259337551989677,r2_result.csv
10,8,Intermediate,Beginner,r2,r2,0.9925149102232615,0.9443912423278784,0.990109742471554,0.9316978655150704,0.7737075576319576,r2_result.csv
10,9,Intermediate,Beginner,r2,r2,0.990845898681838,0.9019260295558524,0.9894124434185604,0.9409236754321622,0.7468354430379747,r2_result.csv
11,5,Intermediate,Beginner,r2,r2,0.9899186496994468,0.9211267648265272,0.9861361798482235,0.9333947339888576,0.7786848072562358,r2_result.csv
11,7,Intermediate,Beginner,r2,r2,0.9883169473162912,0.914186387975781,0.986209535539588,0.9156931712630452,0.7037037037037037,r2_result.csv
11,8,Intermediate,Beginner,r2,r2,0.9920419603601148,0.9395683628858676,0.991619613510874,0.9111363938757364,0.71176005143168,r2_result.csv
11,9,Intermediate,Beginner,r2,r2,0.991229442673847,0.9021270554241654,0.9881258794449042,0.9563869447827276,0.738206497552292,r2_result.csv
12,5,Intermediate,Beginner,r2,r2,0.9901105767617152,0.9225452327096662,0.9881594106516142,0.9436303348556836,0.7330634278002699,r2_result.csv
12,7,Intermediate,Beginner,r2,r2,0.9884623394703014,0.9131219934894664,0.9861093680006752,0.8905240228185399,0.6986524941412788,r2_result.csv
12,8,Intermediate,Beginner,r2,r2,0.9914201061860576,0.9305251036139512,0.9914188415835288,0.9553810675221692,0.7222222222222223,r2_result.csv
12,9,Intermediate,Beginner,r2,r2,0.990567289224424,0.9007526665627902,0.9885935154677172,0.9617535685556878,0.7552742616033755,r2_result.csv
6,5,Intermediate,Beginner,r2,r2,0.987137266276818,0.8977705467681532,0.984552677487516,0.8412126913103593,0.7205240174672489,r2_result.csv
6,7,Intermediate,Beginner,r2,r2,0.9857308344888848,0.8802065307877559,0.9832231716139944,0.9303572711436972,0.6549858414239482,r2_result.csv
6,8,Intermediate,Beginner,r2,r2,0.9879118399852538,0.8951115529784067,0.9874732451427962,0.8818883276171569,0.6739811912225705,r2_result.csv
6,9,Intermediate,Beginner,r2,r2,0.9872978709726072,0.9068296888740834,0.982371068666193,0.8846489082526671,0.685589519650655,r2_result.csv
5,7,Beginner,Beginner,r2,r2,0.9885292352430488,0.9173760151875,0.9849438759580584,0.8966386714685799,0.703203607024205,r2_result.csv
5,8,Beginner,Beginner,r2,r2,0.992121358939294,0.9479409320328172,0.9898423775625084,0.9569549725892732,0.687728102189781,r2_result.csv
5,9,Beginner,Beginner,r2,r2,0.989951892839114,0.925562473363556,0.9877709497286744,0.9523366255517988,0.7259082512315271,r2_result.csv
7,8,Beginner,Beginner,r2,r2,0.9903437240888264,0.9381859002952124,0.9894684778246472,0.8817382213835807,0.7300884955752213,r2_result.csv
7,9,Beginner,Beginner,r2,r2,0.986214390632529,0.885088064788831,0.985914106614129,0.900212192334323,0.692353770260747,r2_result.csv
8,9,Beginner,Beginner,r2,r2,0.992463853111581,0.9203614558198702,0.9906786642957652,0.9605012719997365,0.7002017608217168,r2_result.csv
10,11,Intermediate,Intermediate,r3,r3,0.9881016528100888,0.8899089130330653,0.9861820312991786,0.8930693717936811,0.71,r3_result.csv
10,12,Intermediate,Intermediate,r3,r3,0.9888702423594132,0.9028618304935568,0.9863384036373124,0.964336664168884,0.7642857142857143,r3_result.csv
10,6,Intermediate,Intermediate,r3,r3,0.9854100774195071,0.8785772854700151,0.9845945668654552,0.865056312006016,0.6803776683087028,r3_result.csv
11,12,Intermediate,Intermediate,r3,r3,0.992812823879173,0.8743160183396119,0.9907272018356482,0.8108685877654953,0.7250131279537896,r3_result.csv
11,6,Intermediate,Intermediate,r3,r3,0.9891686210532412,0.9113106173391468,0.9879067120878292,0.9356071275995976,0.6360153256704981,r3_result.csv
12,6,Intermediate,Intermediate,r3,r3,0.9876197088354204,0.9001189817117878,0.9847216006026592,0.8522936915722057,0.6606709484470374,r3_result.csv
10,5,Intermediate,Beginner,r3,r3,0.986007919053956,0.8426153579750782,0.9834161017382136,0.9552416914977984,0.7302904564315352,r3_result.csv
10,7,Intermediate,Beginner,r3,r3,0.9883295126880904,0.889540156470376,0.9858289539577856,0.8754554571975205,0.7112015420860998,r3_result.csv
10,8,Intermediate,Beginner,r3,r3,0.9881335203394206,0.8727060795206456,0.9855898201118972,0.9655127053566676,0.6972294309002521,r3_result.csv
10,9,Intermediate,Beginner,r3,r3,0.9895624490622106,0.8830968072969616,0.9854343366331804,0.887764177088665,0.6719999999999999,r3_result.csv
11,5,Intermediate,Beginner,r3,r3,0.9872419570102028,0.8560784331631953,0.985888312011336,0.9042497744696424,0.7313432835820894,r3_result.csv
11,7,Intermediate,Beginner,r3,r3,0.9905196124741864,0.901674737927536,0.9894559957102134,0.9382230867854602,0.6834751644637576,r3_result.csv
11,8,Intermediate,Beginner,r3,r3,0.9914489482123612,0.9113294876447674,0.9894053094314113,0.9060038324808902,0.6271446700507614,r3_result.csv
11,9,Intermediate,Beginner,r3,r3,0.9908448767876404,0.8565267466530389,0.9901056081904462,0.9663062083743664,0.6911188453768832,r3_result.csv
12,5,Intermediate,Beginner,r3,r3,0.9897263824401464,0.9055700171377998,0.9872973571623328,0.8941893192641215,0.7065637065637065,r3_result.csv
12,7,Intermediate,Beginner,r3,r3,0.9901155987953196,0.8794466987288962,0.9870295470426638,0.8477441443129052,0.6742081447963801,r3_result.csv
